nome,genere
Gianfranco,m
Petunia,f
Matilda,f
Gesù,m
Patrizia,f
Anastasia,f
Tancredi,m
Geltrude,f
San bartolomeo,m
Stefania,f
Sandrina,f
Gervasio,m
Tibetino,m
Filiberto,m
Demetra,f
Carlina,f
Peppone,m
Brumilda,f
Ermenegilda,f
Loretta,f
Juan,m
Gonzago,m
Carmeletto,m
Clarissa,f
Asdrubale,m
Osvaldo,m
Moreno,m
Gilberto,m
Lucresia,f
Esposito,m
Proserpina,f
Annunziata,f
Pasqualino,m
Simonetta,f
Giovanni,m
Natalia,f
Girolamo,m
Ernesto,m
Ambrogio,m
Ettorina,f
Onorino,m
Giandomenica,f
Natalino,m
Romualda,f
Melania,f
Reginaldo,m
Percivaldo,m
Flaviana,f
Manuela,f
Madonna,f
Gabibbo,m
Calimero,m
Mussolini,m
Marilina,f
Michael Jackson,m
Orietta Berti,f
Gerry Scotti,m
Maria de Filippi,f
Ormina,f
Rosita,f
Hello Kitty,f
Cesare,m
Chiara Facchetti,f
Onorio,m
Adolfo,m
Teodolinda,f
Iolanda,f
Domiziano,m
Diocleziano,m
Mafalda,f
Apollonia,f
Eufrasio,m
Mirandolina,f
Torquato,m
Beppe,m
Giampiertolda,f
Mariano,m
Lancillotto,m
Vernelia,f
Marcantonio,m
Perpetua,f
Cassiopea,f
Papa Francesco,m
Ampelietto,m
Don Abbondio,m
Maria Luisa Pia,f
Ludmilla,f
Cristo,m
Dio,m
Signore,m
San Giovanni,m
Madre Teresa,f
San Sebastiano,m
Arcangelo Gabriele,m
Maria,f
Sant'Anna,f
Sant'Antonio,m
Santa Chiara Da Copenaghen,f
Beata Crocifissa Ostrogota,f
San Eristefale,m
Santa Emerenziana,f
Eustachio,m
Cunegonda,f
Pancrazio,m
Genoveffa,f
Addolorata,f
Teopompo,m
Clodoveo,m
Ermenegildo,m
Bixio,m
Gelsomina,f
Trifone,m
Annibale,m
Barbara D'Urso,f
Malgioglio,m
Il Divino Otelma,m
Pingu,m
Peppa Pig,f
Magalli,m
Amadeus,m
Lady Gaga,f
Shrek,m
Spongebob,m
Mocio Vileda,m
Telecomanda,f
Tiramisù,m
Varechina,f
San Bitter,m
Santa Pazienza,f
Beata Solitudine,f
Arcangelo Smirneo,m
Tutankhamon,m
Vercingetorige,m
Napoleone,m
Giulio Cesare,m
Beata Ignoranza,f
Sant'Iddio,m
San Giovanni Decapitato,m
Pierpiero,m
Gianmariafilippo,m
Maria Antonietta,f
Loredano,m
Giuseppina Bonaparte,f
Massimilianotello,m
Mariottide,f
Orazio,m
Santa Maria Senza Peccato Concepta,f
Galeazzo,m
Rosaana,f
Gianantonio,m
Broccolo,m
Crostatina,f
Teresa Fidalgo,f
Fiorella,f
Ninetta,f
Armenegilda,f
Lancillotta,f
Enza,f
Viterbo,m
Jessika La Troia,f
Romina,f
Concetta,f
Reginella,f
Umberto,m
Lyon WGF,m
Il Gabibbo,m
